loc,homogeneity,completeness,NO. of clusters
output/kmerTune/8mer/simple_bv_k8_eps5/graphs,1.0000000000000002,0.9096534502730574,5
output/kmerTune/11mer/simple_bv_k11_eps5/graphs,1.0000000000000002,0.9096534502730574,5
output/kmerTune/15mer/simple_bv_k15_eps5/graphs,1.0000000000000002,0.9096534502730574,5
output/kmerTune/14mer/simple_bv_k14_eps5/graphs,1.0000000000000002,0.9096534502730574,5
output/kmerTune/9mer/simple_bv_k9_eps5/graphs,1.0000000000000002,0.9096534502730574,5
output/kmerTune/10mer/simple_bv_k10_eps5/graphs,1.0000000000000002,0.9096534502730574,5
output/kmerTune/6mer/simple_bv_k6_eps5/graphs,1.0000000000000002,0.9096534502730574,5
output/kmerTune/7mer/simple_bv_k7_eps5/graphs,1.0000000000000002,0.9096534502730574,5
output/kmerTune/13mer/simple_bv_k13_eps5/graphs,1.0000000000000002,0.9096534502730574,5
output/kmerTune/12mer/simple_bv_k12_eps5/graphs,1.0000000000000002,0.9096534502730574,5
output/kmerTune/16mer/simple_bv_k16_eps5/graphs,1.0000000000000002,0.9096534502730574,5
output/kmerTune/8mer/simple_bv_k8_eps4/graphs,1.0,0.9613142622655946,4
output/kmerTune/11mer/simple_bv_k11_eps4/graphs,1.0,0.9613142622655946,4
output/kmerTune/15mer/simple_bv_k15_eps4/graphs,1.0,0.9613142622655946,4
output/kmerTune/14mer/simple_bv_k14_eps4/graphs,1.0,0.9613142622655946,4
output/kmerTune/9mer/simple_bv_k9_eps4/graphs,1.0,0.9613142622655946,4
output/kmerTune/10mer/simple_bv_k10_eps4/graphs,1.0,0.9613142622655946,4
output/kmerTune/6mer/simple_bv_k6_eps4/graphs,1.0,0.9613142622655946,4
output/kmerTune/7mer/simple_bv_k7_eps4/graphs,1.0,0.9613142622655946,4
output/kmerTune/13mer/simple_bv_k13_eps4/graphs,1.0,0.9613142622655946,4
output/kmerTune/12mer/simple_bv_k12_eps4/graphs,1.0,0.9613142622655946,4
output/kmerTune/16mer/simple_bv_k16_eps4/graphs,1.0,0.9613142622655946,4
output/kmerTune/8mer/realistic_bv_k8_eps17/graphs,0.885147530708832,0.9460024651949152,9
output/kmerTune/11mer/realistic_bv_k11_eps17/graphs,0.885147530708832,0.9460024651949152,9
output/kmerTune/15mer/realistic_bv_k15_eps17/graphs,0.885147530708832,0.9460024651949152,9
output/kmerTune/14mer/realistic_bv_k14_eps17/graphs,0.885147530708832,0.9460024651949152,9
output/kmerTune/9mer/realistic_bv_k9_eps17/graphs,0.885147530708832,0.9460024651949152,9
output/kmerTune/10mer/realistic_bv_k10_eps17/graphs,0.885147530708832,0.9460024651949152,9
output/kmerTune/6mer/realistic_bv_k6_eps17/graphs,0.885147530708832,0.9460024651949152,9
output/kmerTune/7mer/realistic_bv_k7_eps17/graphs,0.885147530708832,0.9460024651949152,9
output/kmerTune/13mer/realistic_bv_k13_eps17/graphs,0.885147530708832,0.9460024651949152,9
output/kmerTune/12mer/realistic_bv_k12_eps17/graphs,0.885147530708832,0.9460024651949152,9
output/kmerTune/16mer/realistic_bv_k16_eps17/graphs,0.885147530708832,0.9460024651949152,9
output/kmerTune/8mer/realistic_bv_k8_eps18/graphs,0.879658942621521,0.9738543895172448,8
output/kmerTune/11mer/realistic_bv_k11_eps18/graphs,0.879658942621521,0.9738543895172448,8
output/kmerTune/15mer/realistic_bv_k15_eps18/graphs,0.879658942621521,0.9738543895172448,8
output/kmerTune/14mer/realistic_bv_k14_eps18/graphs,0.879658942621521,0.9738543895172448,8
output/kmerTune/9mer/realistic_bv_k9_eps18/graphs,0.879658942621521,0.9738543895172448,8
output/kmerTune/10mer/realistic_bv_k10_eps18/graphs,0.879658942621521,0.9738543895172448,8
output/kmerTune/6mer/realistic_bv_k6_eps18/graphs,0.879658942621521,0.9738543895172448,8
output/kmerTune/7mer/realistic_bv_k7_eps18/graphs,0.879658942621521,0.9738543895172448,8
output/kmerTune/13mer/realistic_bv_k13_eps18/graphs,0.879658942621521,0.9738543895172448,8
output/kmerTune/12mer/realistic_bv_k12_eps18/graphs,0.879658942621521,0.9738543895172448,8
output/kmerTune/16mer/realistic_bv_k16_eps18/graphs,0.879658942621521,0.9738543895172448,8
output/kmerTune/8mer/realistic_bv_k8_eps16/graphs,0.8756270037358707,0.9474212881300027,7
output/kmerTune/11mer/realistic_bv_k11_eps16/graphs,0.8756270037358707,0.9474212881300027,7
output/kmerTune/15mer/realistic_bv_k15_eps16/graphs,0.8756270037358707,0.9474212881300027,7
output/kmerTune/14mer/realistic_bv_k14_eps16/graphs,0.8756270037358707,0.9474212881300027,7
output/kmerTune/9mer/realistic_bv_k9_eps16/graphs,0.8756270037358707,0.9474212881300027,7
output/kmerTune/10mer/realistic_bv_k10_eps16/graphs,0.8756270037358707,0.9474212881300027,7
output/kmerTune/6mer/realistic_bv_k6_eps16/graphs,0.8756270037358707,0.9474212881300027,7
output/kmerTune/7mer/realistic_bv_k7_eps16/graphs,0.8756270037358707,0.9474212881300027,7
output/kmerTune/13mer/realistic_bv_k13_eps16/graphs,0.8756270037358707,0.9474212881300027,7
output/kmerTune/12mer/realistic_bv_k12_eps16/graphs,0.8756270037358707,0.9474212881300027,7
output/kmerTune/16mer/realistic_bv_k16_eps16/graphs,0.8756270037358707,0.9474212881300027,7
output/kmerTune/8mer/realistic_bv_k8_eps19/graphs,0.8678042395235069,1.0000000000000002,7
output/kmerTune/11mer/realistic_bv_k11_eps19/graphs,0.8678042395235069,1.0000000000000002,7
output/kmerTune/15mer/realistic_bv_k15_eps19/graphs,0.8678042395235069,1.0000000000000002,7
output/kmerTune/14mer/realistic_bv_k14_eps19/graphs,0.8678042395235069,1.0000000000000002,7
output/kmerTune/9mer/realistic_bv_k9_eps19/graphs,0.8678042395235069,1.0000000000000002,7
output/kmerTune/10mer/realistic_bv_k10_eps19/graphs,0.8678042395235069,1.0000000000000002,7
output/kmerTune/6mer/realistic_bv_k6_eps19/graphs,0.8678042395235069,1.0000000000000002,7
output/kmerTune/7mer/realistic_bv_k7_eps19/graphs,0.8678042395235069,1.0000000000000002,7
output/kmerTune/13mer/realistic_bv_k13_eps19/graphs,0.8678042395235069,1.0000000000000002,7
output/kmerTune/12mer/realistic_bv_k12_eps19/graphs,0.8678042395235069,1.0000000000000002,7
output/kmerTune/16mer/realistic_bv_k16_eps19/graphs,0.8678042395235069,1.0000000000000002,7
output/kmerTune/8mer/realistic_bv_k8_eps15/graphs,0.8558725048966338,0.9422029222938596,7
output/kmerTune/11mer/realistic_bv_k11_eps15/graphs,0.8558725048966338,0.9422029222938596,7
output/kmerTune/15mer/realistic_bv_k15_eps15/graphs,0.8558725048966338,0.9422029222938596,7
output/kmerTune/14mer/realistic_bv_k14_eps15/graphs,0.8558725048966338,0.9422029222938596,7
output/kmerTune/9mer/realistic_bv_k9_eps15/graphs,0.8558725048966338,0.9422029222938596,7
output/kmerTune/10mer/realistic_bv_k10_eps15/graphs,0.8558725048966338,0.9422029222938596,7
output/kmerTune/6mer/realistic_bv_k6_eps15/graphs,0.8558725048966338,0.9422029222938596,7
output/kmerTune/7mer/realistic_bv_k7_eps15/graphs,0.8558725048966338,0.9422029222938596,7
output/kmerTune/13mer/realistic_bv_k13_eps15/graphs,0.8558725048966338,0.9422029222938596,7
output/kmerTune/12mer/realistic_bv_k12_eps15/graphs,0.8558725048966338,0.9422029222938596,7
output/kmerTune/16mer/realistic_bv_k16_eps15/graphs,0.8558725048966338,0.9422029222938596,7
